E,N,k,C,M,lr,Y,t,fc1_units,fc2_units,a,b,p_err,episode
2000,100000,4,4,64,0.05,0.99,0.001,128,64,0.5,0.5,0.001,
2000,100000,4,4,64,0.05,0.99,0.001,128,64,0.1,0.5,0.001,
2000,100000,4,4,64,0.05,0.99,0.001,128,64,0.5,0.3,0.001,
2000,100000,4,4,64,0.05,0.99,0.001,128,64,0.7,0.7,0.001,
2000,100000,4,4,64,0.05,0.99,0.001,128,64,0.5,0.5,0.01,
2000,100000,4,4,64,0.0005,0.99,0.01,128,64,0.5,0.5,0.001,633.0
2000,100000,4,4,64,0.0005,0.99,0.01,128,64,0.1,0.5,0.001,659.0
2000,100000,4,4,64,0.0005,0.99,0.01,128,64,0.5,0.3,0.001,1384.0
2000,100000,4,4,64,0.0005,0.99,0.01,128,64,0.7,0.7,0.001,433.0
2000,100000,4,4,64,0.0005,0.99,0.01,128,64,0.5,0.5,0.01,575.0
